ID, Beans, Bread, Cerel,ChdBby, Chips,  Corn,  Eggs,  Fish, Fruit,  Meat,  Milk,Pepper,  Rice, Salza, Sauce,  Soda,Tomato,Tortya,Vegges,YogChs
223,     0,     3,     4,     3,     9,     2,     5,     3,     3,     7,     1,     2,     0,     0,     0,     7,     2,     4,     2,     1
224,     9,     5,     6,     5,     8,     5,     3,     2,     3,     2,     4,    10,     5,     4,     1,     1,     5,     8,     3,     5
225,     8,     5,     5,     5,     2,     0,     0,     1,     5,     3,     2,     0,     7,     2,     6,     1,     1,     1,     6,     5
226,     7,     6,     8,     3,     0,     1,     1,     2,     4,     2,     1,     1,     8,     0,     8,     1,     0,     0,     6,     5
227,     1,     6,     9,     5,     3,     1,     6,     1,     6,     7,     8,     3,     8,     2,     1,     0,     0,     3,     9,     8
228,     5,     2,     1,     5,     4,     4,     6,     2,     7,     8,     4,     6,     9,     3,     1,     0,     4,     8,     8,     9
229,     7,     5,     6,     2,     8,     8,     6,     0,     5,     6,     5,     9,     6,    10,     3,     1,     5,     9,     6,     7
230,     0,     6,     8,     3,     2,     0,     6,     1,     3,     6,     6,     5,     9,     0,     1,     0,     0,     0,     8,     8
231,     5,     1,     0,     2,     2,     3,     6,     0,     7,     7,     5,     7,    10,     2,     0,     2,     3,     7,    10,     8
232,     8,     3,     5,     2,     1,     2,     0,     1,     5,     0,     2,     1,     6,     3,    10,     2,     4,     1,     6,     7
233,     2,     5,     8,     5,     8,     1,     6,     3,     3,     6,     3,     2,     1,     2,     1,     9,     2,     4,     0,     1
234,     8,     8,     9,     6,     7,     4,     7,     1,     6,     3,     8,     7,     8,     9,     1,     0,     6,     6,     7,     7
235,     8,     4,     3,     7,     1,     0,     1,     1,     6,     1,     2,     1,     7,     4,     9,     1,     2,     1,     5,     4
236,     9,     4,     9,     3,    10,     8,     6,     1,     5,     4,     5,     9,     7,     9,     2,     1,     4,     9,     5,     5
237,     0,     7,     7,     5,     5,     0,     5,     1,     8,     6,    10,     5,     8,     3,     2,     1,     0,     0,     7,     6
238,     1,     6,    10,     4,     2,     1,     7,     2,     6,     7,     9,     6,     8,     1,     1,     1,     1,     1,     8,     5
239,     8,     8,     8,     6,     6,     5,     5,     2,     6,     5,     7,     8,     6,     9,     1,     0,     4,    10,     4,     8
240,     2,     6,     9,     7,     1,     1,     4,     2,     3,     8,     9,     3,     8,     0,     1,     1,     0,     2,    10,     6
241,     2,     6,     5,     3,     3,     0,     6,     1,     3,     8,     8,     2,     7,     1,     1,     0,     3,     1,     8,     4
242,     1,     4,     4,     5,     9,     0,     4,     3,     2,     6,     1,     0,     3,     1,     1,     9,     2,     3,     2,     0
243,     9,     2,     7,     6,     7,     6,     6,     2,     5,     2,     7,    10,     8,     8,     2,     0,     4,     8,     8,     5
244,     7,     2,     0,     1,     3,     2,     1,     1,     9,     7,     0,     4,     9,     2,     0,     1,     7,     7,     9,     9
245,     8,     5,     5,     4,     8,     7,     3,     0,     7,     3,     7,     9,    10,     9,     0,     0,     8,    10,     7,     8
246,     9,     5,     9,     4,     9,     7,     5,     2,     3,     4,     7,     8,     7,     8,     0,     0,     4,     4,     4,     5
247,    10,     3,     7,     5,     5,     4,     5,     1,     7,     4,     8,     8,     5,     9,     1,     1,     5,     7,     5,     5
248,     1,     1,     8,     4,     2,     1,     7,     7,     5,     5,     5,     1,     9,     0,     1,     2,     5,     0,     9,     1
249,     7,     5,     9,     6,     7,     3,     5,     1,     6,     3,     7,     9,     8,     7,     1,     1,     5,     6,     7,     5
250,     7,     1,     1,     5,     2,     6,     6,     3,     9,     5,     2,     5,     9,     5,     0,     0,     6,     8,     9,     9
251,     7,     1,     8,     5,     7,     3,     4,     2,     5,     2,     6,     8,     8,     7,     3,     0,     6,     5,     7,     5
252,     6,     9,     9,     4,     2,     1,     5,     4,     5,     7,     9,     4,     7,     0,     1,     1,     0,     1,     8,     8
253,     1,     5,     6,     5,     1,     0,     7,     6,     5,     5,     6,     1,     7,     0,     2,     1,     1,     0,     9,     2
254,     5,     1,     1,     4,     2,     6,     6,     2,     9,     6,     1,     7,     9,     1,     1,     0,     7,     8,     9,     5
255,     3,     7,     7,     3,     1,     0,     4,     1,     7,     9,     7,     3,     7,     1,     2,     2,     1,     3,     6,     6
256,     2,     4,     7,     6,     9,     0,     6,     2,     2,     8,     0,     1,     1,     1,     1,     8,     4,     3,     1,     2
257,     2,     8,     7,     7,     3,     2,     5,     3,     2,     7,     8,     4,    10,     0,     0,     2,     3,     1,     7,     7
258,     4,     3,     3,     4,     3,     4,     6,     0,     9,     8,     4,     6,    10,     3,     1,     0,     6,     6,    10,     9
259,     0,     6,     8,     5,     4,     1,     9,     0,     6,    10,     9,     2,     9,     1,     2,     0,     0,     1,     6,     5
260,    10,     1,     4,     7,     0,     1,     2,     2,     7,     0,     2,     2,     7,     2,    10,     1,     1,     0,     6,     8
261,     7,     3,     8,    10,     8,     8,     4,     1,     6,     4,     4,     8,     9,     9,     0,     0,     5,    10,     8,     6
262,     0,     4,     6,     6,     1,     0,    10,     7,     7,     6,     4,     2,     9,     1,     0,     0,     2,     0,     4,     1
263,     9,     3,     7,     3,    10,     6,     3,     2,     8,     5,     6,     7,     8,     7,     0,     0,     3,     9,     6,     7
264,     2,     8,     8,     5,     1,     1,     4,     2,     5,     6,     9,     4,     8,     0,     1,     0,     3,     1,     8,     7
265,     3,     3,     8,     5,     9,     0,     7,     1,     3,     5,     2,     3,     2,     8,     1,     9,     6,     0,     1,     1
266,     3,     1,     1,     4,     5,     6,     5,     3,     8,     8,     1,     1,     9,     2,     2,     0,     6,     7,     8,    10
267,     1,     5,     7,     4,     9,     2,     1,     1,     1,     6,     3,     2,     0,     2,     1,     7,     2,     1,     1,     0
268,     3,     0,     1,     7,     1,     6,     7,     2,    10,     7,     2,     7,     8,     3,     1,     2,     8,     6,    10,     8
269,     0,     9,     7,     4,     3,     2,     4,     1,     3,     8,     7,     5,     8,     0,     1,     1,     0,     1,     6,     5
270,     8,     5,     7,     3,     6,     5,     6,     2,     5,     4,     7,     7,     6,     8,     0,     1,     3,    10,     8,     6
271,     8,     5,     5,     4,     0,     1,     2,     2,     5,     1,     1,     1,     8,     2,     7,     0,     3,     0,     7,     7
272,     4,     3,     8,     3,    10,     1,     3,     0,     5,     9,     1,     2,     1,     0,     1,     5,     2,     0,     1,     1
273,     0,     4,     9,     3,     3,     1,     7,     0,     3,     8,     8,     4,     7,     1,     1,     2,     0,     0,     5,     4
274,     2,     5,     7,     7,     3,     2,     4,     0,     2,     7,     9,     4,    10,     1,     0,     1,     2,     1,     9,     3
275,     0,     5,     3,     3,     9,     0,     3,     2,     4,     7,     2,     2,     2,     4,     1,     9,     2,     3,     4,     2
276,    10,     5,     7,     3,     6,     4,     4,     2,     2,     5,     7,     9,     7,     6,     1,     0,     5,     6,     7,     8
277,     8,     3,     8,     9,     0,     2,     1,     0,     8,     0,     2,     0,     7,     0,     8,     0,     1,     1,     8,     8
278,     8,     5,     5,     3,     1,     0,     1,     1,     4,     2,     2,     0,     8,     1,     6,     1,     3,     1,     9,     5
279,     3,     3,     5,     6,     8,     0,     5,     2,     4,     8,     3,     3,     0,     3,     3,     7,     1,     4,     1,     2
280,     2,     3,     6,     3,     7,     1,     4,     1,     4,     6,     2,     2,     0,     3,     2,     6,     1,     2,     3,     1
281,     7,     3,     6,     8,     9,     6,     3,     3,     7,     4,     6,     7,     8,    10,     1,     1,     3,     8,     5,     9
282,     2,     5,     7,     2,     8,     0,     6,     3,     3,     9,     1,     2,     0,     4,     2,     8,     1,     4,     2,     1
283,     1,     3,     5,     6,     2,     0,     9,     8,     8,     6,     6,     1,     9,     3,     2,     1,     3,     1,     9,     3
284,     5,     6,     8,     2,     1,     0,     4,     1,     5,     5,     8,     2,     8,     1,     0,     0,     1,     1,     8,     6
285,     7,     4,     5,     2,     8,     7,     5,     4,     6,     4,     6,     9,     8,     9,     2,     1,     3,    10,     8,     8
286,     3,     8,     8,     4,     4,     0,     3,     3,     3,     6,    10,     4,     6,     1,     0,     2,     2,     2,     6,     7
287,     1,     6,    10,     4,     2,     0,     5,     2,     1,     9,     8,     5,     8,     1,     2,     0,     0,     2,     7,     6
288,     9,     4,     7,     3,     7,     3,     6,     2,     3,     5,     8,    10,     9,     8,     0,     0,     5,     9,     8,     5
289,    10,     2,     8,     6,     8,     5,     7,     1,     5,     3,     5,     7,     5,     6,     1,     0,     5,     9,     4,     4
290,     4,     2,     2,     2,     4,     6,     7,     1,     7,     6,     2,     4,     8,     0,     0,     3,     6,     4,     7,     8
291,     2,     5,     8,     7,     8,     0,     4,     1,     3,     8,     2,     2,     0,     3,     0,     8,     2,     1,     1,     0
292,     9,     3,     9,     6,     6,     5,     6,     3,     6,     4,     9,     6,     9,     9,     1,     1,     5,     9,     6,     8
293,    10,     6,     7,     5,    10,     7,     7,     2,     5,     4,     5,     8,     8,    10,     1,     0,     6,     8,     7,     7
294,     6,     0,     1,     8,     4,     7,     7,     0,     7,     7,     2,     6,     9,     1,     0,     2,     4,     7,     9,     7
295,     2,     3,     5,     6,     7,     0,     6,     2,     1,     6,     1,     0,     3,     3,     1,     9,     3,     2,     2,     1
296,     1,     5,     3,     4,     0,     0,     7,     6,     3,     4,     4,     3,     7,     1,     1,     1,     3,     1,     6,     3
297,     3,     6,     7,     3,     4,     0,     4,     3,     5,     6,     8,     2,     8,     1,     2,     3,     0,     0,    10,     4
298,     6,     8,     7,     3,     2,     1,     6,     2,     3,     7,     8,     5,     9,     1,     0,     0,     1,     1,     8,     9
299,     1,     2,     7,     4,     2,     0,     8,     8,     8,     5,     3,     1,     5,     0,     0,     1,     2,     2,     7,     2
300,     0,     2,     8,     4,     1,     0,     8,     6,     5,     8,     5,     2,     8,     1,     2,     0,     1,     0,     8,     1
301,     9,     5,     5,     6,     8,     5,     7,     0,     2,     5,     2,     8,     9,     7,     0,     0,     6,     9,     5,     8
302,    10,     3,     6,     7,     0,     1,     2,     2,     5,     0,     4,     2,     8,     2,     8,     1,     1,     0,     8,     7
303,     5,     1,     1,     6,     1,     5,     7,     2,     7,     7,     3,     8,     6,     1,     0,     2,    10,     9,     9,     8
304,     2,     6,     7,     4,     0,     1,     4,     0,     6,     7,     9,     2,     8,     1,     1,     1,     0,     0,     9,     3
305,     4,     2,     0,     5,     1,     6,     8,     3,     6,     8,     3,     5,     7,     3,     0,     3,     9,     7,     9,     9
306,     3,     6,     4,     5,     1,     1,     5,     2,     5,     7,     9,     5,     7,     1,     2,     2,     1,     1,     9,     5
307,     1,     1,     7,     6,     8,     0,     6,     1,     5,     9,     0,     0,     1,     1,     0,     8,     1,     1,     1,     0
308,     9,     5,     4,     2,     5,     8,     6,     3,     6,     4,     5,    10,     6,     9,     0,     2,     4,     6,     6,     6
309,     5,     2,     1,     5,     3,     2,     4,     0,     9,     7,     2,     7,     9,     2,     0,     2,     7,     8,     9,    10
310,     5,     2,     1,     4,     1,     7,     3,     3,     7,     8,     2,     5,     8,     0,     0,     3,     8,     8,     9,     9
311,     2,     7,     9,     2,     3,     1,     8,     2,     6,     6,    10,     5,     8,     1,     1,     1,     0,     0,     5,     4
312,     7,     6,     6,     4,    10,     4,     4,     4,     6,     4,     9,     9,     5,     9,     2,     2,     6,     6,     7,     4
313,     2,     8,     7,     5,     1,     1,     3,     3,     5,     6,     9,     7,     9,     3,     2,     1,     2,     0,     8,     7
314,     1,     6,     8,     5,     2,     0,     5,     1,     4,     9,     5,     3,     9,     1,     0,     1,     3,     0,     9,     4
315,    10,     4,     3,     5,     1,     0,     1,     4,     4,     1,     3,     0,     5,     4,     8,     1,     3,     1,     9,     7
316,     3,     1,     0,     5,     5,     4,     7,     1,     7,     8,     4,     7,     8,     2,     0,     0,     5,     9,     8,     9
317,     4,     5,     6,     4,     7,     0,     9,     1,     3,     9,     2,     2,     0,     2,     1,     8,     0,     3,     3,     2
318,     1,     5,     8,     2,     3,     1,     4,     2,     4,     5,     9,     5,     9,     1,     1,     2,     1,     0,    10,     3
319,     1,     4,     8,     4,     9,     0,     6,     1,     0,     7,     4,     2,     2,     1,     0,     8,     0,     0,     2,     0
320,     3,     6,     7,     4,     8,     1,     4,     0,     2,     9,     2,     2,     0,     4,     1,     7,     2,     1,     2,     0
321,     3,     2,     1,     3,     3,     4,     4,     0,     6,     4,     0,     5,     8,     3,     1,     1,     7,     8,     9,     7
322,     1,     8,     6,     3,     1,     3,     4,     3,     4,     8,     6,     5,     8,     1,     0,     2,     1,     0,     8,     7
323,     2,     8,     9,     6,     4,     0,     5,     1,     6,     8,     8,     9,     9,     1,     1,     2,     0,     0,     9,     7
324,     6,     0,     1,     4,     4,     7,     7,     0,     7,     6,     2,     8,     9,     0,     0,     0,     7,     8,    10,     8
325,     9,     4,     6,     8,     1,     1,     1,     3,     7,     1,     2,     3,     6,     1,    10,     0,     0,     2,     7,     7
326,     6,     2,     2,     6,     2,     5,     5,     1,     6,     5,     2,     7,     5,     1,     0,     2,     7,     7,     8,     6
327,     6,     0,     0,     4,     4,     4,     6,     0,     7,     7,     2,     9,     7,     5,     0,     1,     5,     6,    10,     9
328,     9,     5,     4,     5,     7,     4,     6,     0,     5,     2,     7,    10,     6,     7,     1,     1,     3,    10,     9,     5
329,     9,     2,     8,     4,     4,     4,     3,     1,     6,     2,     7,     8,     9,     8,     1,     0,     5,     7,     6,     7
330,     9,     4,     1,     5,     1,     2,     2,     1,     3,     2,     3,     2,     6,     1,     6,     2,     0,     1,     6,     7
331,     1,     4,     7,     5,     8,     0,     4,     1,     3,     7,     1,     4,     2,     2,     3,     9,     2,     2,     1,     0
332,     3,     4,     8,     6,     9,     0,     9,     1,     3,     7,     1,     2,     3,     3,     3,     8,     3,     0,     2,     0
333,     0,     7,     7,     4,     3,     1,     5,     3,     4,     7,     7,     6,    10,     1,     1,     1,     2,     0,     9,     4
334,     2,     5,     8,     5,     3,     1,     6,     0,     5,     7,     7,     4,     7,     0,     0,     1,     2,     2,     7,     5
335,     1,     5,     8,     6,     4,     0,     2,     0,     6,     6,     8,     4,     7,     0,     0,     1,     0,     0,     7,     7
336,     0,     4,     6,     7,     2,     0,     3,     7,     5,     8,     3,     1,     8,     1,     0,     0,     2,     0,     7,     2
337,     9,     2,     5,     1,     0,     0,     1,     3,     8,     4,     2,     1,     9,     2,     9,     3,     0,     0,     5,     4
338,     7,     2,     1,     5,     2,     6,     8,     1,     9,     6,     2,     5,     7,     3,     0,     1,    10,     7,     9,     8
339,     1,     2,     0,     3,     1,     6,     7,     2,     2,     8,     2,     3,     9,     1,     1,     2,     6,     6,    10,     8
340,     9,     7,     7,     6,     9,     8,     5,     1,     4,     5,     5,     7,     8,     9,     0,     0,     2,     8,     8,     7
341,     7,     4,     7,     3,     9,     5,     4,     2,     2,     3,     5,     9,     7,     9,     0,     1,     5,     8,     5,     7
342,    10,     3,     4,     4,     1,     0,     1,     1,     7,     0,     2,     0,     7,     2,    10,     3,     1,     0,     4,     2
343,     6,     5,     7,     4,     7,     3,     5,     1,     5,     4,     8,     6,     9,     5,     1,     0,     4,     8,     8,     4
344,     5,     0,     1,     6,     4,     6,     9,     1,    10,     9,     2,     4,     9,     3,     1,     0,     6,     7,     9,     9
345,     8,     5,     7,     7,     0,     0,     3,     1,     5,     1,     4,     0,     9,     2,    10,     0,     0,     2,     6,     6
346,     2,     7,     7,     5,     3,     1,     5,     2,     9,     8,     6,     6,     9,     0,     1,     2,     1,     1,     6,     6
347,    10,     3,     7,     5,     1,     1,     0,     1,     5,     2,     5,     0,     7,     1,    10,     0,     1,     0,     6,     7
348,     6,     5,     7,     4,     1,     0,     1,     0,     3,     0,     0,     1,     5,     2,     8,     2,     1,     2,     8,     6
349,     1,     7,     7,     3,     4,     1,     5,     0,     4,     5,     9,     4,     9,     1,     1,     1,     0,     2,     8,     7
350,     6,     6,     9,     5,     7,     7,     3,     0,     4,     5,     8,     8,     7,     7,     0,     3,     6,     9,     7,     7
351,     0,     3,     3,     5,     2,     0,    10,     4,     5,     9,     9,     1,     8,     0,     0,     3,     3,     2,     7,     1
352,     8,     7,     7,     7,     8,     6,     5,     1,     4,     5,     4,     8,     7,    10,     0,     1,     3,     9,     9,     6
353,     5,     2,     1,     7,     4,     5,     4,     0,     9,     8,     3,     6,     8,     2,     0,     2,     7,     6,     8,    10
354,     3,     3,     5,     5,     9,     0,     4,     0,     4,     5,     1,     1,     0,     1,     1,     7,     1,     1,     1,     3
355,     4,     1,     0,     4,     0,     4,     5,     2,     6,     6,     1,     5,     9,     2,     1,     2,     7,     8,    10,     7
356,     5,     8,     6,     8,     1,     1,     5,     3,     5,     8,     8,     5,     9,     1,     1,     0,     1,     1,     6,     7
357,     8,     5,     8,     2,     6,     5,     4,     2,     3,     2,     5,     8,     8,     8,     0,     2,     6,     7,     6,     5
358,     4,     3,     0,     8,     3,     6,     2,     3,     6,     8,     1,     6,     7,     5,     0,     0,     5,     4,    10,     9
359,     1,     3,     4,     5,     0,     0,     7,     7,     3,     6,     6,     2,     8,     1,     1,     0,     3,     1,     6,     3
360,     4,     4,     1,     8,     1,     2,     8,     1,     8,     6,     2,     6,     8,     2,     0,     1,     9,     8,    10,    10
361,     3,     2,     4,     7,     0,     0,     7,     7,     4,     6,     5,     0,     9,     1,     1,     3,     3,     0,     5,     3
362,     8,     7,     6,     4,     6,     5,     7,     1,     8,     5,     4,     8,     5,     9,     0,     1,     5,     7,     7,     6
363,     3,     4,     5,     5,     0,     2,     9,     9,     5,     7,     4,     2,    10,     0,     0,     1,     6,     0,     7,     1
364,     9,     3,     3,     4,     1,     0,     0,     0,     6,     1,     2,     0,     9,     3,     8,     0,     2,     0,     8,     7
365,     8,     4,     5,     3,     0,     0,     2,     2,     5,     1,     4,     2,     5,     2,     8,     0,     0,     2,     7,     2
366,     9,     4,     4,     8,     0,     0,     2,     4,     4,     3,     2,     0,     9,     1,     7,     1,     1,     1,     7,     5
367,     8,     2,     9,     5,     8,     4,     3,     0,     8,     4,     7,     6,     8,     9,     0,     0,     6,     6,     6,     7
368,     1,     3,     6,     2,     7,     0,     6,     1,     3,     8,     2,     3,     1,     2,     3,     7,     2,     0,     2,     0
369,     4,     3,     6,     6,     2,     0,     6,     2,     5,     4,    10,     5,     9,     0,     0,     0,     2,     3,     6,     3
370,     8,     3,     8,     7,     5,     6,     2,     1,     7,     2,     8,    10,     9,     7,     1,     2,     4,     8,     6,     8
371,     2,     6,     8,     4,     1,     1,    10,     6,     6,     5,     6,     1,     9,     1,     1,     3,     4,     3,     8,     3
372,     1,     9,    10,     4,     6,     0,     7,     2,     7,     8,     9,     8,    10,     1,     1,     1,     0,     0,     5,     3
373,     0,     4,     4,     6,     0,     1,    10,     6,     6,     5,     3,     0,     8,     0,     2,     1,     4,     1,     9,     1
374,     2,     6,     7,     5,     3,     0,     6,     1,     7,     7,    10,     5,     7,     3,     1,     2,     1,     2,     6,     3
375,     1,     2,     6,     5,     4,     0,     5,     5,     8,     5,     4,     3,    10,     0,     0,     0,     4,     0,     8,     0
376,     1,     5,     7,     8,     5,     1,     2,     1,     5,     6,    10,     5,     7,     0,     1,     1,     1,     1,     8,     7
377,     2,     2,     5,     5,    10,     2,     4,     3,     2,     7,     1,     2,     0,     3,     0,     7,     3,     0,     2,     2
378,     5,     2,     1,     8,     1,     9,     6,     1,     8,     7,     1,     5,     9,     0,     0,     1,     5,     6,     9,     8
379,     2,     5,     8,     3,     6,     0,     8,     0,     4,     7,     2,     2,     1,     1,     2,     8,     2,     2,     3,     0
380,     3,     9,     8,     6,     2,     1,     4,     2,     4,     7,     8,     6,    10,     0,     2,     2,     1,     0,     7,     4
381,     1,     6,     9,     6,     3,     2,     4,     0,     8,     9,     7,     6,     9,     0,     2,     1,     2,     1,     8,     7
382,     5,     3,     3,     6,     2,     3,     9,     1,     5,     9,     4,     7,     9,     2,     0,     0,     7,     9,     8,     8
383,     7,     5,     9,     5,     6,     6,     5,     2,     5,     4,     8,     9,     6,     6,     2,     1,     3,     9,    10,     6
384,     0,     2,     6,     5,     2,     0,     8,     8,     5,     9,     7,     0,     8,     1,     1,     0,     2,     2,     5,     3
385,     2,     2,     6,     5,     0,     1,     8,     7,     5,     6,     6,     1,     9,     2,     0,     0,     3,     1,     7,     2
386,     9,     4,     8,     5,     8,     5,     5,     0,     6,     6,     8,     5,     7,     8,     0,     0,     9,     9,     5,     7
387,     9,     7,     7,     5,     2,     0,     1,     5,     2,     1,     2,     1,     9,     0,     9,     0,     1,     0,     7,     4
388,     1,     3,     6,     3,     1,     1,     8,     7,     7,     6,     7,     0,     8,     1,     0,     1,     2,     0,     8,     2
389,     6,     6,     7,     3,     6,     4,     4,     1,     4,     4,     4,     9,     9,     9,     0,     1,     4,     8,     7,     6
390,     2,     7,     8,     4,     4,     0,     7,     1,     3,     9,     8,     5,     8,     0,     0,     2,     1,     1,     6,     5
391,     0,     5,     4,     0,     1,     0,     8,     8,     4,     7,     4,     1,     9,     0,     0,     1,     4,     0,     9,     3
392,     2,     9,     5,     4,     3,     3,     6,     2,     6,     9,     7,     2,    10,     0,     0,     1,     2,     3,     9,     5
393,     6,     2,     3,     4,     2,     5,     7,     0,     7,     7,     4,     4,     8,     2,     0,     1,     8,     7,     7,     8
394,     3,     2,     4,     6,     9,     0,     3,     2,     2,     6,     1,     1,     2,     2,     0,     7,     1,     2,     1,     3
395,     1,     8,    10,     3,     3,     1,     4,     1,     5,     5,     7,     4,     9,     2,     0,     0,     0,     0,     6,     6
396,     2,     4,     4,     5,     1,     1,     7,     7,     7,     4,     6,     3,    10,     0,     1,     1,     3,     2,     5,     1
397,     4,     2,     1,     5,     4,     3,     5,     0,     8,    10,     1,     3,     9,     1,     0,     2,     6,     7,    10,     9
398,     8,     4,     6,     4,     9,    10,     1,     4,     5,     4,     9,     9,     9,     5,     1,     0,     6,     8,     6,     7
399,    10,     1,     0,     2,     1,     6,     8,     1,     8,     8,     2,     6,     7,     1,     0,     1,     9,     7,     7,     7
400,     5,     2,     0,     6,     3,     6,     9,     2,     8,     7,     2,     8,     8,     2,     0,     0,     7,     8,     9,     7
401,     8,     4,     4,     3,     9,     6,     5,     0,     5,     5,     6,     8,     8,     9,     0,     0,     6,     9,    10,     7
402,     5,     3,     1,     4,     3,     5,     4,     0,     6,     8,     3,     6,    10,     3,     0,     1,     7,     5,     7,     8
403,     2,     5,     6,     7,     0,     1,     9,     7,     8,     4,     7,     1,    10,     1,     0,     2,     0,     1,     6,     0
404,     3,     4,     3,     6,     8,     0,     3,     2,     4,     6,     3,     1,     1,     1,     0,     9,     2,     2,     3,     2
405,     5,     7,     8,     3,     4,     1,     4,     3,     6,     8,     7,     5,     8,     0,     0,     0,     2,     0,     8,     4
406,    10,     3,     5,     6,     0,     0,     1,     1,     6,     2,     1,     1,     6,     1,     9,     1,     1,     0,     4,     7
407,     0,     8,     8,     7,     4,     2,     5,     1,     3,     7,     9,     6,     9,     2,     2,     1,     1,     1,     7,     6
408,     8,     7,     7,     5,     4,     5,     5,     1,     6,     3,     5,     8,     7,     9,     0,     0,     3,     6,     5,     9
409,     3,     5,     6,     6,     2,     0,     7,     6,     6,     8,     7,     2,     9,     3,     0,     0,     5,     2,     7,     2
410,     9,     3,     5,     5,     0,     0,     1,     2,     4,     1,     0,     0,     8,     2,     7,     0,     3,     3,     9,     6
411,     7,     5,    10,     3,     6,     6,     2,     3,     3,     4,     8,     9,     8,     7,     2,     1,     2,     9,     5,     8
412,     4,     2,     0,     6,     1,     3,     4,     0,     8,     7,     2,     4,     8,     3,     0,     3,     6,     7,     9,    10
413,     9,     3,     7,     0,     9,     8,     4,     1,     5,     2,     9,    10,     4,     9,     2,     0,     8,     8,     7,     6
414,     6,     1,     1,     7,     4,     5,     5,     1,     6,     8,     3,     5,    10,     3,     1,     2,     9,     9,     9,     7
415,     9,     3,     5,     7,     0,     0,     1,     3,     3,     1,     1,     1,     6,     1,     7,     0,     1,     0,     7,     6
416,     2,     8,     8,     3,     3,     0,     3,     2,     7,     9,     9,     5,     7,     1,     2,     1,     1,     1,     7,     8
417,     5,     1,     0,     6,     1,     5,     7,     1,     9,     8,     1,     5,     9,     1,     1,     0,     5,     7,     9,    10
418,     3,     4,     9,     4,     8,     1,     6,     1,     2,     7,     2,     3,     3,     2,     2,     5,     3,     1,     1,     1
419,     2,     3,     5,     4,     2,     0,     7,     9,     6,     8,     7,     1,    10,     0,     0,     0,     2,     0,     6,     1
420,     3,     1,     8,     3,     2,     0,     6,    10,     8,     6,     6,     0,     8,     1,     1,     1,     2,     0,     9,     1
421,     1,     8,     9,     4,     2,     0,     7,     2,     5,     7,     8,     4,     7,     0,     2,     0,     1,     1,     5,     4
422,     0,     4,     4,     5,     1,     0,     9,     6,     5,     7,     4,     0,     8,     0,     1,     1,     3,     0,     9,     1
423,     1,     3,     6,     3,     0,     0,     8,     8,     6,     4,     5,     1,     9,     0,     2,     1,     1,     0,     9,     2
424,     1,     6,     8,     5,     2,     1,     7,     1,     4,     5,     9,     2,     7,     1,     0,     2,     0,     1,     7,     6
425,     2,     7,     8,     3,     2,     1,     4,     3,     3,     7,    10,     4,     9,     1,     1,     2,     1,     2,     5,     3
426,     4,     2,     3,     2,     2,     6,     5,     3,     8,     9,     1,     4,     7,     3,     0,     1,     7,     7,     8,     7
427,     9,     2,     7,     5,     1,     1,     0,     2,     5,     1,     4,     0,     9,     4,     8,     0,     2,     1,     7,     9
428,     4,     1,     0,     4,     3,     6,     5,     1,     8,    10,     5,     2,     9,     1,     1,     1,     8,     6,     8,    10
429,     4,     1,     2,     5,     0,     5,     5,     3,     6,     9,     6,     7,     9,     2,     1,     1,     9,     6,    10,     9
430,     7,     1,     1,     7,     0,     3,     6,     1,     8,     9,     3,     5,     9,     0,     1,     0,     7,     7,     9,    10
431,     6,     5,     6,     6,     0,     1,     0,     1,     3,     0,     1,     1,     7,     1,     8,     2,     0,     2,     7,     5
432,     3,     2,     7,     4,     0,     0,     8,     6,     5,     7,     7,     1,     9,     2,     0,     2,     3,     0,     6,     3
433,     9,     6,     7,     3,     7,     4,     1,     4,     4,     3,     3,     7,     8,     8,     0,     0,     5,     6,     7,     6
434,     4,     1,     0,     7,     1,     5,     7,     0,     8,     9,     2,     4,     8,     2,     0,     1,     8,     8,    10,     9
435,     8,     4,     5,     4,     1,     0,     1,     1,     1,     0,     2,     1,     6,     1,     6,     1,     1,     0,     8,     8
436,     2,     5,     8,     4,     9,     0,     5,     2,     4,     8,     2,     1,     1,     0,     0,     8,     0,     1,     0,     1
437,     7,     3,     0,     3,     1,     5,     8,     1,     7,    10,     2,     7,     7,     4,     0,     2,     8,     5,     8,     8
438,     5,     1,     1,     5,     0,     5,     3,     0,     9,     7,     3,     5,     8,     1,     0,     1,    10,     8,    10,     7
439,     8,     2,     0,     6,     4,     5,     6,     3,    10,     7,     3,     5,     9,     4,     0,     0,     6,     5,     9,     9
440,     9,     4,     5,     5,     0,     0,     0,     0,     6,     3,     3,     2,     6,     0,     6,     1,     1,     2,     6,     3
441,     2,     3,     8,     3,     9,     2,     5,     0,     3,     7,     2,     3,     2,     3,     0,     8,     1,     1,     1,     1
442,     2,     6,     5,     5,     9,     0,     4,     1,     4,     4,     1,     1,     1,     3,     1,     5,     1,     1,     3,     1
443,     1,     5,     4,     5,     7,     1,     7,     1,     2,     7,     4,     4,     2,     0,     0,     9,     1,     2,     0,     2
444,     1,     5,     8,     4,    10,     0,     8,     0,     0,     7,     2,     2,     3,     1,     1,     6,     1,     1,     2,     0
445,    10,     6,     8,     3,     8,     5,     7,     2,     6,     3,     6,     7,     5,     9,     1,     0,     4,    10,     6,     7
446,     2,     3,     5,     6,     2,     0,    10,     8,     8,     4,     6,     2,     7,     1,     1,     0,     1,     0,     4,     2
